asset_id,return_1d,dt
AAPL,0.029712949524270282,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AAPL,0.0,2026-01-26
AMZN,-0.003094162903495623,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
AMZN,0.0,2026-01-26
GOOGL,0.0162534687280822,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
GOOGL,0.0,2026-01-26
MSFT,0.009292842579675886,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
MSFT,0.0,2026-01-26
TSLA,-0.030864472453569713,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
TSLA,0.0,2026-01-26
