asset_id,provider,esg_z,esg_percentile,esg_normalized,dt
AAPL,demo,-0.8382259943051087,0.38,0.1792144026186586,2026-01-27
MSFT,demo,1.4721358421555233,0.88,0.9999999999999999,2026-01-27
GOOGL,demo,0.5496035236086816,0.68,0.6722585924713589,2026-01-27
AMZN,demo,0.15916849740720868,0.48,0.5335515548281511,2026-01-27
TSLA,demo,-1.342681868866304,0.18,6.310734909918557e-16,2026-01-27
AAPL,demo,-0.8382259943051087,0.39,0.1792144026186586,2026-01-27
MSFT,demo,1.4721358421555233,0.89,0.9999999999999999,2026-01-27
GOOGL,demo,0.5496035236086816,0.69,0.6722585924713589,2026-01-27
AMZN,demo,0.15916849740720868,0.49,0.5335515548281511,2026-01-27
TSLA,demo,-1.342681868866304,0.19,6.310734909918557e-16,2026-01-27
AAPL,demo,-0.8382259943051087,0.4,0.1792144026186586,2026-01-27
MSFT,demo,1.4721358421555233,0.9,0.9999999999999999,2026-01-27
GOOGL,demo,0.5496035236086816,0.7,0.6722585924713589,2026-01-27
AMZN,demo,0.15916849740720868,0.5,0.5335515548281511,2026-01-27
TSLA,demo,-1.342681868866304,0.2,6.310734909918557e-16,2026-01-27
AAPL,demo,-0.8382259943051089,0.28,0.1792144026186585,2026-01-27
MSFT,demo,1.4721358421555237,0.91,1.0,2026-01-27
GOOGL,demo,0.5496035236086817,0.71,0.6722585924713589,2026-01-27
AMZN,demo,0.1591684974072087,0.51,0.5335515548281511,2026-01-27
TSLA,demo,-1.3426818688663043,0.08,5.521893046178737e-16,2026-01-27
AAPL,demo,-0.8382259943051089,0.29,0.1792144026186585,2026-01-27
MSFT,demo,1.4721358421555237,0.92,1.0,2026-01-27
GOOGL,demo,0.5496035236086817,0.72,0.6722585924713589,2026-01-27
AMZN,demo,0.1591684974072087,0.52,0.5335515548281511,2026-01-27
TSLA,demo,-1.3426818688663043,0.09,5.521893046178737e-16,2026-01-27
AAPL,demo,-0.8382259943051106,0.21,0.1792144026186579,2026-01-27
MSFT,demo,1.472135842155522,0.81,0.9999999999999993,2026-01-27
GOOGL,demo,0.54960352360868,0.61,0.6722585924713583,2026-01-27
AMZN,demo,0.15916849740720707,0.41,0.5335515548281505,2026-01-27
TSLA,demo,-1.3426818688663058,0.01,0.0,2026-01-27
AAPL,demo,-0.8382259943051106,0.22,0.1792144026186579,2026-01-27
MSFT,demo,1.472135842155522,0.82,0.9999999999999993,2026-01-27
GOOGL,demo,0.54960352360868,0.62,0.6722585924713583,2026-01-27
AMZN,demo,0.15916849740720707,0.42,0.5335515548281505,2026-01-27
TSLA,demo,-1.3426818688663058,0.02,0.0,2026-01-27
AAPL,demo,-0.8382259943051106,0.23,0.1792144026186579,2026-01-27
MSFT,demo,1.472135842155522,0.83,0.9999999999999993,2026-01-27
GOOGL,demo,0.54960352360868,0.63,0.6722585924713583,2026-01-27
AMZN,demo,0.15916849740720707,0.43,0.5335515548281505,2026-01-27
TSLA,demo,-1.3426818688663058,0.03,0.0,2026-01-27
AAPL,demo,-0.8382259943051106,0.24,0.1792144026186579,2026-01-27
MSFT,demo,1.472135842155522,0.84,0.9999999999999993,2026-01-27
GOOGL,demo,0.54960352360868,0.64,0.6722585924713583,2026-01-27
AMZN,demo,0.15916849740720707,0.44,0.5335515548281505,2026-01-27
TSLA,demo,-1.3426818688663058,0.04,0.0,2026-01-27
AAPL,demo,-0.8382259943051106,0.25,0.1792144026186579,2026-01-27
MSFT,demo,1.472135842155522,0.85,0.9999999999999993,2026-01-27
GOOGL,demo,0.54960352360868,0.65,0.6722585924713583,2026-01-27
AMZN,demo,0.15916849740720707,0.45,0.5335515548281505,2026-01-27
TSLA,demo,-1.3426818688663058,0.05,0.0,2026-01-27
AAPL,demo,-0.8382259943051106,0.26,0.1792144026186579,2026-01-27
MSFT,demo,1.472135842155522,0.86,0.9999999999999993,2026-01-27
GOOGL,demo,0.54960352360868,0.66,0.6722585924713583,2026-01-27
AMZN,demo,0.15916849740720707,0.46,0.5335515548281505,2026-01-27
TSLA,demo,-1.3426818688663058,0.06,0.0,2026-01-27
AAPL,demo,-0.8382259943051106,0.27,0.1792144026186579,2026-01-27
MSFT,demo,1.472135842155522,0.87,0.9999999999999993,2026-01-27
GOOGL,demo,0.54960352360868,0.67,0.6722585924713583,2026-01-27
AMZN,demo,0.15916849740720707,0.47,0.5335515548281505,2026-01-27
TSLA,demo,-1.3426818688663058,0.07,0.0,2026-01-27
AAPL,demo,-0.8382259943051089,0.3,0.1792144026186585,2026-01-27
MSFT,demo,1.4721358421555237,0.93,1.0,2026-01-27
GOOGL,demo,0.5496035236086817,0.73,0.6722585924713589,2026-01-27
AMZN,demo,0.1591684974072087,0.53,0.5335515548281511,2026-01-27
TSLA,demo,-1.3426818688663043,0.1,5.521893046178737e-16,2026-01-27
AAPL,demo,-0.8382259943051089,0.31,0.1792144026186585,2026-01-27
MSFT,demo,1.4721358421555237,0.94,1.0,2026-01-27
GOOGL,demo,0.5496035236086817,0.74,0.6722585924713589,2026-01-27
AMZN,demo,0.1591684974072087,0.54,0.5335515548281511,2026-01-27
TSLA,demo,-1.3426818688663043,0.11,5.521893046178737e-16,2026-01-27
AAPL,demo,-0.8382259943051089,0.32,0.1792144026186585,2026-01-27
MSFT,demo,1.4721358421555237,0.95,1.0,2026-01-27
GOOGL,demo,0.5496035236086817,0.75,0.6722585924713589,2026-01-27
AMZN,demo,0.1591684974072087,0.55,0.5335515548281511,2026-01-27
TSLA,demo,-1.3426818688663043,0.12,5.521893046178737e-16,2026-01-27
AAPL,demo,-0.8382259943051089,0.33,0.1792144026186585,2026-01-27
MSFT,demo,1.4721358421555237,0.96,1.0,2026-01-27
GOOGL,demo,0.5496035236086817,0.76,0.6722585924713589,2026-01-27
AMZN,demo,0.1591684974072087,0.56,0.5335515548281511,2026-01-27
TSLA,demo,-1.3426818688663043,0.13,5.521893046178737e-16,2026-01-27
AAPL,demo,-0.8382259943051089,0.34,0.1792144026186585,2026-01-27
MSFT,demo,1.4721358421555237,0.97,1.0,2026-01-27
GOOGL,demo,0.5496035236086817,0.77,0.6722585924713589,2026-01-27
AMZN,demo,0.1591684974072087,0.57,0.5335515548281511,2026-01-27
TSLA,demo,-1.3426818688663043,0.14,5.521893046178737e-16,2026-01-27
AAPL,demo,-0.8382259943051089,0.35,0.1792144026186585,2026-01-27
MSFT,demo,1.4721358421555237,0.98,1.0,2026-01-27
GOOGL,demo,0.5496035236086817,0.78,0.6722585924713589,2026-01-27
AMZN,demo,0.1591684974072087,0.58,0.5335515548281511,2026-01-27
TSLA,demo,-1.3426818688663043,0.15,5.521893046178737e-16,2026-01-27
AAPL,demo,-0.8382259943051089,0.36,0.1792144026186585,2026-01-27
MSFT,demo,1.4721358421555237,0.99,1.0,2026-01-27
GOOGL,demo,0.5496035236086817,0.79,0.6722585924713589,2026-01-27
AMZN,demo,0.1591684974072087,0.59,0.5335515548281511,2026-01-27
TSLA,demo,-1.3426818688663043,0.16,5.521893046178737e-16,2026-01-27
AAPL,demo,-0.8382259943051089,0.37,0.1792144026186585,2026-01-27
MSFT,demo,1.4721358421555237,1.0,1.0,2026-01-27
