date,ticker,asset_id,adj_open,adj_close,volume
2023-07-03,AAPL,AAPL,191.46,190.15,31458200
2023-07-05,AAPL,AAPL,189.27,189.04,46920300
2023-07-06,AAPL,AAPL,187.56,189.51,45094300
2023-07-07,AAPL,AAPL,189.11,188.39,46815000
2023-07-10,AAPL,AAPL,186.99,186.35,59922200
2023-07-11,AAPL,AAPL,186.89,185.82,46638100
2023-07-12,AAPL,AAPL,187.41,187.49,60750200
2023-07-13,AAPL,AAPL,188.22,188.25,41342300
2023-07-14,AAPL,AAPL,187.95,188.4,41616200
2023-07-17,AAPL,AAPL,189.6,191.66,50520200
2023-07-18,AAPL,AAPL,191.03,191.41,48288200
2023-07-19,AAPL,AAPL,190.78,192.76,80507300
2023-07-20,AAPL,AAPL,192.75,190.81,59581200
2023-07-21,AAPL,AAPL,191.77,189.64,71951700
2023-07-24,AAPL,AAPL,191.09,190.44,45377800
2023-07-25,AAPL,AAPL,191.01,191.3,37283200
2023-07-26,AAPL,AAPL,191.35,192.17,47471900
2023-07-27,AAPL,AAPL,193.67,190.9,47460200
2023-07-28,AAPL,AAPL,192.34,193.48,48291400
2023-07-31,AAPL,AAPL,193.71,194.09,38824100
2023-08-01,AAPL,AAPL,193.89,193.26,35175100
2023-08-02,AAPL,AAPL,192.7,190.27,50389300
2023-08-03,AAPL,AAPL,189.27,188.88,61235200
2023-08-04,AAPL,AAPL,183.3,179.81,115956800
2023-08-07,AAPL,AAPL,179.95,176.71,97576100
2023-08-08,AAPL,AAPL,177.53,177.64,67823000
2023-08-09,AAPL,AAPL,178.7,176.05,60378500
2023-08-10,AAPL,AAPL,177.33,175.84,54686900
2023-08-11,AAPL,AAPL,175.43,175.89,52036700
2023-08-14,AAPL,AAPL,176.07,177.55,43675600
2023-08-15,AAPL,AAPL,176.97,175.56,43622600
2023-08-16,AAPL,AAPL,175.24,174.69,46964900
2023-08-17,AAPL,AAPL,175.25,172.15,66062900
2023-08-18,AAPL,AAPL,170.46,172.63,61172200
2023-08-21,AAPL,AAPL,173.2,173.97,46311900
2023-08-22,AAPL,AAPL,175.17,175.34,42038900
2023-08-23,AAPL,AAPL,176.62,179.19,52722800
2023-08-24,AAPL,AAPL,178.74,174.5,54945800
2023-08-25,AAPL,AAPL,175.49,176.71,51449600
2023-08-28,AAPL,AAPL,178.17,178.27,43820700
2023-08-29,AAPL,AAPL,177.78,182.16,53003900
2023-08-30,AAPL,AAPL,182.97,185.65,60813900
2023-08-31,AAPL,AAPL,185.84,185.87,60794500
2023-09-01,AAPL,AAPL,187.47,187.44,45766500
2023-09-05,AAPL,AAPL,186.27,187.68,45280000
2023-09-06,AAPL,AAPL,186.39,180.96,81755800
2023-09-07,AAPL,AAPL,173.31,175.67,112488800
2023-09-08,AAPL,AAPL,176.45,176.28,65551300
2023-09-11,AAPL,AAPL,178.15,177.45,58953100
2023-09-12,AAPL,AAPL,177.58,174.42,90370200
2023-09-13,AAPL,AAPL,174.63,172.35,84267900
2023-09-14,AAPL,AAPL,172.15,173.87,60895800
2023-09-15,AAPL,AAPL,174.6,173.14,109259500
2023-09-18,AAPL,AAPL,174.6,176.07,67257600
2023-09-19,AAPL,AAPL,175.63,177.16,51826900
2023-09-20,AAPL,AAPL,177.35,173.62,58436200
2023-09-21,AAPL,AAPL,172.69,172.08,63149100
2023-09-22,AAPL,AAPL,172.81,172.93,56725400
2023-09-25,AAPL,AAPL,172.34,174.2,46172700
2023-09-26,AAPL,AAPL,172.96,170.13,64588900
2023-09-27,AAPL,AAPL,170.78,168.61,66921800
2023-09-28,AAPL,AAPL,167.54,168.87,56294400
2023-09-29,AAPL,AAPL,170.19,169.39,51861100
2023-10-02,AAPL,AAPL,169.39,171.9,52164500
2023-10-03,AAPL,AAPL,170.42,170.56,49594600
2023-10-04,AAPL,AAPL,169.27,171.81,53020300
2023-10-05,AAPL,AAPL,171.94,173.05,48527900
2023-10-06,AAPL,AAPL,171.95,175.6,57266700
2023-10-09,AAPL,AAPL,174.93,177.08,42390800
2023-10-10,AAPL,AAPL,176.2,176.49,43698000
2023-10-11,AAPL,AAPL,176.3,177.88,47551100
2023-10-12,AAPL,AAPL,178.15,178.78,56743100
2023-10-13,AAPL,AAPL,179.49,176.94,51427100
2023-10-16,AAPL,AAPL,174.87,176.82,52517000
