date,asset_id,provider,esg_raw
2023-07-03,AAPL,demo,61.52
2023-07-03,MSFT,demo,79.53
2023-07-03,GOOGL,demo,71.38
2023-07-03,AMZN,demo,67.43
2023-07-03,TSLA,demo,54.11
2023-07-04,AAPL,demo,60.31
2023-07-04,MSFT,demo,75.91
2023-07-04,GOOGL,demo,72.91
2023-07-04,AMZN,demo,68.78
2023-07-04,TSLA,demo,53.16
2023-07-05,AAPL,demo,60.81
2023-07-05,MSFT,demo,77.78
2023-07-05,GOOGL,demo,71.26
2023-07-05,AMZN,demo,65.82
2023-07-05,TSLA,demo,54.05
2023-07-06,AAPL,demo,61.83
2023-07-06,MSFT,demo,81.08
2023-07-06,GOOGL,demo,72.35
2023-07-06,AMZN,demo,68.08
2023-07-06,TSLA,demo,54.17
2023-07-07,AAPL,demo,60.64
2023-07-07,MSFT,demo,79.47
2023-07-07,GOOGL,demo,72.25
2023-07-07,AMZN,demo,67.32
2023-07-07,TSLA,demo,53.66
2023-07-10,AAPL,demo,61.07
2023-07-10,MSFT,demo,77.99
2023-07-10,GOOGL,demo,71.95
2023-07-10,AMZN,demo,67.73
2023-07-10,TSLA,demo,55.07
2023-07-11,AAPL,demo,59.97
2023-07-11,MSFT,demo,79.61
2023-07-11,GOOGL,demo,74.74
2023-07-11,AMZN,demo,69.15
2023-07-11,TSLA,demo,54.9
2023-07-12,AAPL,demo,62.12
2023-07-12,MSFT,demo,77.51
2023-07-12,GOOGL,demo,70.38
2023-07-12,AMZN,demo,68.73
2023-07-12,TSLA,demo,54.14
2023-07-13,AAPL,demo,59.89
2023-07-13,MSFT,demo,77.64
2023-07-13,GOOGL,demo,70.83
2023-07-13,AMZN,demo,68.09
2023-07-13,TSLA,demo,55.26
2023-07-14,AAPL,demo,62.12
2023-07-14,MSFT,demo,79.42
2023-07-14,GOOGL,demo,72.71
2023-07-14,AMZN,demo,67.75
2023-07-14,TSLA,demo,54.06
2023-07-17,AAPL,demo,59.73
2023-07-17,MSFT,demo,79.62
2023-07-17,GOOGL,demo,71.78
2023-07-17,AMZN,demo,67.55
2023-07-17,TSLA,demo,55.86
2023-07-18,AAPL,demo,60.34
2023-07-18,MSFT,demo,79.36
2023-07-18,GOOGL,demo,72.26
2023-07-18,AMZN,demo,66.92
2023-07-18,TSLA,demo,54.6
2023-07-19,AAPL,demo,62.21
2023-07-19,MSFT,demo,79.32
2023-07-19,GOOGL,demo,73.46
2023-07-19,AMZN,demo,68.3
2023-07-19,TSLA,demo,58.05
